x,l,P_forward,P_backward
0.90,27,1.32512607828310397e-01,1.77878720859454081e-01
0.90,28,1.97870735752227550e-01,1.44421590490118462e-01
0.90,29,2.22083300858502863e-01,8.37318416578745617e-02
0.90,30,2.01812397959063416e-01,8.59782226065679972e-03
0.90,31,1.42483923296693432e-01,-6.58043486331025274e-02
0.90,32,5.69579410684860066e-02,-1.24926220549289826e-01
0.90,33,-3.71953331208411675e-02,-1.57649840784065881e-01
0.90,34,-1.21249724777845902e-01,-1.58344709445664977e-01
0.90,35,-1.78999045217018010e-01,-1.27803196283358761e-01
0.90,36,-1.99841628392856768e-01,-7.29044281085653029e-02
0.90,37,-1.80692685340487630e-01,-5.10556379815744945e-03
0.90,38,-1.26384631840716188e-01,6.19167969379286337e-02
0.90,39,-4.85162293236692452e-02,1.14996037234062487e-01
0.90,40,3.69874184218761948e-02,1.44036579169065648e-01
0.90,41,1.13098340875647435e-01,1.43912808099082606e-01
0.90,42,1.65046712097950937e-01,1.15352071882613816e-01
0.90,43,1.83161468807350097e-01,6.46533850897322709e-02
0.90,44,1.64648508804627752e-01,2.32320367212823222e-03
0.90,45,1.13983131727272910e-01,-5.90813406624610751e-02
0.90,46,4.18703389620739691e-02,-1.07463173163072453e-01
0.90,47,-3.69931210282758022e-02,-1.33551615388850103e-01
0.90,48,-1.06892037065313694e-01,-1.32664457855880824e-01
0.90,49,-1.54204184213156070e-01,-1.05533257799052885e-01
0.90,50,-1.70037659943836711e-01,-5.80490966991489971e-02
0.99,0,1.00000000000000000e+00,1.00000000000000000e+00
0.99,1,9.89999999999999991e-01,6.53450219123040466e-01
0.99,2,9.70149999999999846e-01,4.70373575397715071e-01
0.99,3,9.40747499999999737e-01,3.40482919990869548e-01
0.99,4,9.02232543749999505e-01,2.37106477335895238e-01
0.99,5,8.55180392962499480e-01,1.50137406619869684e-01
0.99,6,8.00291960101937039e-01,7.49106619018174574e-02
0.99,7,7.38382166962418873e-01,9.03939699388178058e-03
0.99,8,6.70366432334795204e-01,-4.87674484941972228e-02
0.99,9,5.97245524499472324e-01,-9.92301482342659302e-02
0.99,10,5.20089042482191677e-01,-1.42761205183876666e-01
0.99,11,4.40017813473640163e-01,-1.79609452130012420e-01
0.99,12,3.58185512124223226e-01,-2.09944497331478269e-01
0.99,13,2.75759820260834010e-01,-2.33908683337995221e-01
0.99,14,1.93903452711227969e-01,-2.51650045736813932e-01
0.99,15,1.13755376245845266e-01,-2.63343416424799581e-01
0.99,16,3.64125441447857301e-02,-2.69203672751555767e-01
0.99,17,-3.70875413366690831e-02,-2.69493489764502048e-01
0.99,18,-1.05783142098718946e-01,-2.64527054642419213e-01
0.99,19,-1.68803197421896423e-01,-2.54670694515304052e-01
0.99,20,-2.25380587629188056e-01,-2.40341073851496362e-01
0.99,21,-2.74863528734800688e-01,-2.22001442729816811e-01
0.99,22,-3.16724912637614375e-01,-2.00156312096676225e-01
0.99,23,-3.50569444601743663e-01,-1.75344867993519837e-01
0.99,24,-3.76138469443916768e-01,-1.48133397063121924e-01
0.99,25,-3.93312419291302173e-01,-1.19106970387502717e-01
0.99,26,-4.02110858227689605e-01,-8.88606157033447891e-02
0.99,27,-4.02690141838259907e-01,-5.79901954029418618e-02
0.99,28,-3.95338751819486856e-01,-2.70831969892812510e-02
0.99,29,-3.80470406679391915e-01,3.29036776473210770e-03
0.99,30,-3.58615088379272084e-01,3.25867697942386209e-02
0.99,31,-3.30408160865886591e-01,6.02969030623260183e-02
0.99,32,-2.96577789170247241e-01,8.59539993867461244e-02
0.99,33,-2.57930896527182929e-01,1.09140574622505468e-01
0.99,34,-2.15337921294996570e-01,1.29494480439651921e-01
0.99,35,-1.69716654906771319e-01,1.46713954904783866e-01
0.99,36,-1.22015456335335476e-01,1.60561585413040026e-01
0.99,37,-7.31961473705655952e-02,1.70867118952113067e-01
